sample_id,trajectory_id,MMSI,split,gap_steps,prefix_steps,suffix_steps,window_start_index,gap_start_index,gap_end_index,window_end_index,hidden_gap_start_timestamp,hidden_gap_end_timestamp,last_prefix_timestamp,first_suffix_timestamp,hidden_internal_duration_min,observable_gap_duration_min,max_dt_inside_window_min,mean_dt_inside_window_min,median_dt_inside_window_min,num_prefix_rows,num_gap_rows,num_suffix_rows
traj_0000_gap5_w0,traj_0000,309536000,train,5,60,60,0,60,64,124,2023-07-01 09:34:56,2023-07-01 10:28:56,2023-07-01 09:28:56,2023-07-01 10:34:58,54.0,66.0333,36.3833,9.8228,8.0083,60,5,60
traj_0000_gap5_w1,traj_0000,309536000,train,5,60,60,5887,5947,5951,6011,2023-08-11 16:56:19,2023-08-11 17:24:26,2023-08-11 16:46:15,2023-08-11 17:30:26,28.1167,44.1833,33.8,9.3629,7.5417,60,5,60
traj_0000_gap5_w2,traj_0000,309536000,train,5,60,60,11774,11834,11838,11898,2023-09-20 20:38:45,2023-09-20 21:24:57,2023-09-20 20:26:45,2023-09-20 21:30:52,46.2,64.1167,40.8833,10.8051,9.2333,60,5,60
traj_0000_gap10_w0,traj_0000,309536000,train,10,60,60,0,60,69,129,2023-07-01 09:34:56,2023-07-01 10:58:58,2023-07-01 09:28:56,2023-07-01 11:03:59,84.0333,95.05,36.3833,9.8734,8.15,60,10,60
traj_0000_gap10_w1,traj_0000,309536000,train,10,60,60,5884,5944,5953,6013,2023-08-11 16:25:55,2023-08-11 17:36:55,2023-08-11 16:03:46,2023-08-11 17:44:16,71.0,100.5,33.8,9.4734,7.75,60,10,60
traj_0000_gap10_w2,traj_0000,309536000,train,10,60,60,11769,11829,11838,11898,2023-09-20 19:48:54,2023-09-20 21:24:57,2023-09-20 19:36:55,2023-09-20 21:30:52,96.05,113.95,40.8833,10.7252,9.0667,60,10,60
traj_0000_gap15_w0,traj_0000,309536000,train,15,60,60,0,60,74,134,2023-07-01 09:34:56,2023-07-01 11:31:59,2023-07-01 09:28:56,2023-07-01 11:47:25,117.05,138.4833,36.3833,9.7781,8.0917,60,15,60
traj_0000_gap15_w1,traj_0000,309536000,train,15,60,60,5882,5942,5956,6016,2023-08-11 15:56:21,2023-08-11 18:11:16,2023-08-11 15:50:17,2023-08-11 18:20:20,134.9167,150.05,39.8833,9.6096,7.7167,60,15,60
traj_0000_gap15_w2,traj_0000,309536000,train,15,60,60,11764,11824,11838,11898,2023-09-20 18:54:54,2023-09-20 21:24:57,2023-09-20 18:45:56,2023-09-20 21:30:52,150.05,164.9333,40.8833,10.6711,9.0583,60,15,60
traj_0000_gap30_w0,traj_0000,309536000,train,30,60,60,0,60,89,149,2023-07-01 09:34:56,2023-07-01 14:04:57,2023-07-01 09:28:56,2023-07-01 14:16:22,270.0167,287.4333,36.3833,9.7158,8.0333,60,30,60
traj_0000_gap30_w1,traj_0000,309536000,train,30,60,60,5874,5934,5963,6023,2023-08-11 14:48:16,2023-08-11 19:08:22,2023-08-11 14:31:22,2023-08-11 19:14:18,260.1,282.9333,39.8833,9.8555,7.8167,60,30,60
traj_0000_gap30_w2,traj_0000,309536000,train,30,60,60,11749,11809,11838,11898,2023-09-20 16:30:54,2023-09-20 21:24:57,2023-09-20 16:09:54,2023-09-20 21:30:52,294.05,320.9667,40.8833,10.7037,9.0667,60,30,60
traj_0000_gap45_w0,traj_0000,309536000,train,45,60,60,0,60,104,164,2023-07-01 09:34:56,2023-07-01 17:02:57,2023-07-01 09:28:56,2023-07-01 17:10:56,448.0167,462.0,36.3833,9.6341,8.0083,60,45,60
traj_0000_gap45_w1,traj_0000,309536000,train,45,60,60,5867,5927,5971,6031,2023-08-11 13:36:27,2023-08-11 20:17:21,2023-08-11 13:23:15,2023-08-11 20:29:18,400.9,426.05,39.8833,9.8134,7.8083,60,45,60
traj_0000_gap45_w2,traj_0000,309536000,train,45,60,60,11734,11794,11838,11898,2023-09-20 14:00:52,2023-09-20 21:24:57,2023-09-20 13:49:45,2023-09-20 21:30:52,444.0833,461.1167,40.8833,10.5116,9.0417,60,45,60
traj_0000_gap60_w0,traj_0000,309536000,train,60,60,60,0,60,119,179,2023-07-01 09:34:56,2023-07-01 19:22:56,2023-07-01 09:28:56,2023-07-01 19:30:22,588.0,601.4333,36.3833,9.6759,8.15,60,60,60
traj_0000_gap60_w1,traj_0000,309536000,train,60,60,60,5860,5920,5979,6039,2023-08-11 12:29:18,2023-08-11 21:34:48,2023-08-11 12:22:21,2023-08-11 21:48:27,545.5,566.1,39.8833,9.7547,7.85,60,60,60
traj_0000_gap60_w2,traj_0000,309536000,train,60,60,60,11719,11779,11838,11898,2023-09-20 11:45:52,2023-09-20 21:24:57,2023-09-20 11:33:37,2023-09-20 21:30:52,579.0833,597.25,40.8833,10.6031,9.0333,60,60,60
