trajectory_id,split
traj_0978,train
traj_0933,train
traj_0859,train
traj_0916,train
traj_0127,train
traj_0608,train
traj_0856,train
traj_0260,train
traj_0147,train
traj_0810,train
traj_0635,train
traj_0972,train
traj_0593,train
traj_0994,train
traj_0285,train
traj_0554,train
traj_0467,train
traj_0276,train
traj_0055,train
traj_0061,train
traj_0839,train
traj_0425,train
traj_0082,train
traj_0620,train
traj_0787,train
traj_0002,train
traj_0753,train
traj_0007,train
traj_0903,train
traj_0626,train
traj_0051,train
traj_0557,train
traj_0310,train
traj_0100,train
traj_0848,train
traj_0921,train
traj_0045,train
traj_0976,train
traj_0136,train
traj_0128,train
traj_0605,train
traj_0945,train
traj_0773,train
traj_0941,train
traj_0613,train
traj_0098,train
traj_0758,train
traj_0595,train
traj_0470,train
traj_0025,train
traj_0514,train
traj_0239,train
traj_0980,train
traj_0623,train
traj_0252,train
traj_0662,train
traj_0171,train
traj_0408,train
traj_0993,train
traj_0592,train
traj_0701,train
traj_0427,train
traj_0457,train
traj_0454,train
traj_0151,train
traj_0756,train
traj_0250,train
traj_0904,train
traj_0324,train
traj_0439,train
traj_0650,train
traj_0238,train
traj_0498,train
traj_0806,train
traj_0629,train
traj_0468,train
traj_0343,train
traj_0664,train
traj_0671,train
traj_0652,train
traj_0346,train
traj_0381,train
traj_0493,train
traj_0708,train
traj_0513,train
traj_0563,train
traj_0857,train
traj_0781,train
traj_0135,train
traj_0232,train
traj_0931,train
traj_0426,train
traj_0660,train
traj_0995,train
traj_0036,train
traj_0545,train
traj_0116,train
traj_0434,train
traj_0390,train
traj_0751,train
traj_0797,train
traj_0180,train
traj_0152,train
traj_0038,train
traj_0946,train
traj_0710,train
traj_0789,train
traj_0558,train
traj_0142,train
traj_0166,train
traj_0990,train
traj_0083,train
traj_0914,train
traj_0230,train
traj_0885,train
traj_0413,train
traj_0125,train
traj_0726,train
traj_0865,train
traj_0638,train
traj_0096,train
traj_0764,train
traj_0079,train
traj_0579,train
traj_0421,train
traj_0179,train
traj_0248,train
traj_0889,train
traj_0771,train
traj_0435,train
traj_0860,train
traj_0582,train
traj_0302,train
traj_0987,train
traj_0131,train
traj_0199,train
traj_0996,train
traj_0898,train
traj_0934,train
traj_0900,train
traj_0150,train
traj_0143,train
traj_0703,train
traj_0474,train
traj_0371,train
traj_0551,train
traj_0222,train
traj_0835,train
traj_0306,train
traj_0750,train
traj_0963,train
traj_0340,train
traj_0767,train
traj_0830,train
traj_0896,train
traj_0387,train
traj_0066,train
traj_0297,train
traj_0881,train
traj_0814,train
traj_0892,train
traj_0724,train
traj_0991,train
traj_0193,train
traj_0253,train
traj_0236,train
traj_0891,train
traj_0674,train
traj_0746,train
traj_0315,train
traj_0129,train
traj_0021,train
traj_0673,train
traj_0373,train
traj_0598,train
traj_0853,train
traj_0130,train
traj_0544,train
